userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:
Deden Herdiana,4,2022-02-11 8:42:00,Harusnya dikasih bintang 4 bilang terimakasih... Belum mau ngasih bintang 5. Soalnya jaringan di area saya sangat lemot. Terkadang dari 4G malah drop sampai ke E...,1,1,1,-1,1. negatif 
Herry Ghunawan,1,2022-02-11 7:53:00,Tolong dong masalah jaringan hampir setiap hari leg parahh!! Jangan buat kecewa costumer lah,1,1,1,-1,2. positif 
Miyuki,5,2022-02-11 5:50:00,"Saya mau komen lagi,miminnnn kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google behhh loadingnya kek nungguin ayam jantan bertelurðŸ—¿padahal jaringan saya selalu 4g tapi berasa kek 2g gak habis fikir kenapa bisa kek gini ya. Jadi tolong sekaliiii miminku tercinta untuk jaringan lebih lebih lebihhhhhhhhhhh ditingkatkan baiklah dari say segitu aja, ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii:)",1,1,1,-1,3. netral
Wildan Saat Almaarif,2,2022-02-11 5:33:00,"Bonus kouta tiktok 13gb tidak diaktifkan/tidak diberikan kepada saya..jadi kouta yg seharusnya 105gb,jadi cuma 92gb..itu sangat merugikan bagi saya.",1,1,1,-1,
putri purwantiy,3,2022-02-11 3:10:00,"Sejauh ini bagusÂ² aja sih apk nya, tpi udh bbrp hari sinyal xl hilang, mana baru isi pulsa, tolong ya kak, saya banyak tugas sekolah sama kerjaan juga, jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali, mohon bantuannya ya kakðŸ™ðŸ™",3,3,3,0,
Kki Ffi,5,2022-02-11 3:10:00,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif 1 bulan cuma yang harga nya lebih murah,2,2,2,1,
Ipoel slow,1,2022-02-11 1:53:00,"Ini aplikasi aneh, di sms suruh beli paket via apliaksi my xl, sudah di download buka aplikasi mau pilih paket malah macet, tiba2 keluar sendiri, kalo belum siap jangan bikin aplikasi, mending pindah ke oprator yg lain.",1,1,1,-1,
Ahmad Dzaki,1,2022-02-11 1:07:00,"Padahal cuma ngaktifin bonus, kuota utama ilang, sisa pulsa kesedot, Najis nyari nafkah gitu amat Cuihh",1,1,1,-1,
Vera Robo,4,2022-02-11 14:13:00,"jringan xl di tmpt ku blm lancar, kalau mau online dikamar tdk bsa. hrus di luar ruangan bru bsa lancar",3,3,3,0,
Ulul Fajar,1,2022-02-11 14:08:00,"Asu lagi enak2 main game, gangguan mulu di akhir game",1,1,1,-1,
albany raizansyah,1,2022-02-11 13:49:00,"Oh gitu ya??? Knp kok sering lost pulsanya dgn langganan apalah RBT atw APA YG GAK JELAS, Registrasi aja tidak... kok NGACO YA.. Dan lg, knp sering dpt notifikasi kalo dpt bonus dr setiap pengisian ulang tp bo'ong alias GAK ADA alias ZOOOOONK. KECEWA SANGAT",1,1,1,-1,
Cuyiz Sulistyo Wonka,1,2022-02-11 13:13:00,"Saya sedang bermasalah dengan pengisian pulsa karena masa tenggang, xl care maya dan agents sungguh tidak membantu. Maya bot: terbatas dalam cara penyelesaian, agents : antrian tidak bergerak sedikitpun!! Tolonglah fast response. Cs nya kalah sm shopee yg gercep dan ""terlihat"" online saat menerima pengaduan",1,1,1,-1,
Robi arshaka,5,2022-02-11 12:39:00,mantap...bisa bayar dengan va BCA kalau beli pulsa di myXL....trima kasih xl...,2,2,2,1,
Swandaru Tirta Sandhika,5,2022-02-11 11:38:00,Sebenarnya bagi masyarakat awam cukup pintar untuk: merestart device kalian > switch ke kartu lain/kartu xl yg serupa agar tidak terjadi crash atau keluar apps sendiri > membersihkan penyimpanan internal agar tidak terjadi lemot pada device jika hal hal lain seperti terpotong pulsa lebih baik anda semua pilih fitur kontrol pulsa pada laman pengaturan Sekian dari saya terimakasih ðŸ™ðŸ‘,2,2,2,1,
Teguh Susanto,1,2022-02-11 10:02:00,"Harga sdh oke, lbh terjangkau dr yg lain, tapi kualitas jaringan Sangat MENGECEWAKAN, TIDAK STABIL, bahkan signalnya SERING ilang-ilangan!! Percuma kuota besar tapi LEMOT PARAH ... . Tolong PERBAIKI!!",1,1,1,-1,
Nur Wahid Sendi,2,2022-02-11 0:20:00,Kenapa sinyal XL kalau malem jelek banget tapi kalau siang bagus banget?,3,3,3,0,
Aji Firmansyah,3,2022-02-11 0:13:00,"Seru banget. Saya baru beli paket bayar pake pulsa. Trus masih ada sisa pulsa 30rebuu. paketnya emang udah masuk sihh, trus on data buka ini itu yang kesedot pulsanya kipakkk, mana abis tuh 30rebu Kipakk. Plislah untuk xl kalo mau nyedot pulsa usahakan ada konfirmasi atau tidaknya. Soalnya kakak saya juga sering ngalamin seperti itu. Saya dan kakak saya pelanggan setia xl but xl jaringan lumayan bagus dan terkadang ada diskon gede""an Jadi tolong ya di perbaiki lagi agar tidak mengcewan pelanggan",3,3,3,0,
Hendi Hasan,2,2022-02-10 5:31:00,"Mahal,harga tidak merakyat, kuotanya kebanyakan buat youtubeanðŸ˜¡;kuota internet digedein harusnya sisanya kuota youtubeðŸ˜¡, 3 giga buat seminggu cukup buat apa?di pikir dong yg realistis,situ kan orang pintarðŸ˜¡",1,1,1,-1,
7E Muhammad shofarryan firmana,5,2022-02-10 4:20:00,Bagus sekali apk nya saya suka ðŸ˜ðŸ˜ðŸ˜ terima kasih my XL sudah memberi kami paket data 1gb,2,2,2,1,
rizaltoha,1,2022-02-10 4:03:00,"Mau login susah bener, autentikasi gagal mulu... padhal dah masukin otp... mohon dijawab.",1,1,1,-1,
Su Hendrik,1,2022-02-10 14:23:14,"Aplikasi selalu terhenti jadi gak bisa di buka, sudah uninstal dan instal lagi yg baru tapi tetap aplikasi terhenti atau aplikasi myXL tidak menanggapi..",1,1,1,-1,
